NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering IC,Application ID,Award Notice Date,Opportunity Number,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,Primary DUNS,Primary UEI,DUNS Number,UEI,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,Post Award Action Type,CFDA Code,Funding Mechanism,Fiscal Year,Total Cost,Total Cost(Sub Projects),Funding IC(s),Direct Cost IC,Indirect Cost IC,NIH COVID-19 Response,Total Cost IC
Biotechnology; Clinical Research; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Address;Anemia;Animal Experimentation;Animal Model;Animals;Antibody-drug conjugates;Autologous;B-Lymphocytes;Biological Models;Biotin;Bone Marrow Transplantation;Busulfan;Capsid;Cells;Clinical;Clinical Research;Clinical Trials;Clonal Hematopoietic Stem Cell;Communication;Disease;Dose;Drug Kinetics;Engraftment;Enhancers;Erythrocytes;Erythroid;Fetal Hemoglobin;Formulation;Gene Expression;Gene Transfer;Gene Transfer Techniques;Genes;Globin;HIV;Hematopoiesis;Hematopoietic stem cells;Hemoglobinopathies;Homologous Transplantation;Human;Infusion procedures;Insertional Mutagenesis;Intravenous;Journals;Label;Lentivirus Vector;Longevity;Macaca mulatta;Manuscripts;Marrow;Measures;Medicine;Methods;Modeling;Monitor;Myelogenous;Myelosuppression;Nature;New England;Oral;Peripheral Blood Stem Cell;Phenotype;Phylogenetic Analysis;Plasmids;Population;Pre-Clinical Model;Preclinical Testing;Production;Publishing;Reagent;Regulatory Element;Reporter;Reporting;Retroviral Vector;Rhesus;Risk Assessment;Rodent Model;SIV;Series;Sickle Cell;Sickle Cell Anemia;Single-Gene Defect;Source;T-Lymphocyte;Technology Transfer;Testing;Thalassemia;Transplantation;Viral Vector;Whole-Body Irradiation;Work;absorption;beta Globin;beta Thalassemia;cellular transduction;chemotherapeutic agent;clinical application;clinical development;clinically relevant;conditioning;cross reactivity;dosage;endonuclease;gene therapy;gene transfer vector;genetic manipulation;genetically modified cells;human model;improved;in vivo;in vivo Model;individual patient;integration site;irradiation;lentiviral-mediated;mathematical model;mouse model;neutrophil;nonhuman primate;peripheral blood;preclinical development;preclinical study;promoter;sickling;stem cell genes;stem cells;success;technique development;transduction efficiency;transgene expression;vector,Preclinical and Clinical Studies in Gene Therapy for Sickle Cell Disease,n/a,NHLBI,10929111, , ,1ZIAHL006008-16,1,ZIA,HL,6008,16,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2023,1344142, ,NHLBI, , , ,1344142
Behavioral and Social Science; Biotechnology; Cancer; Clinical Research; Cooley's Anemia; Genetics; Hematology; Immunotherapy; Lung; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Ablation;Acute;Adult;Age;Allogeneic Bone Marrow Transplantation;Allogenic;Allografting;Amendment;Animal Model;Antibodies;Blood;CD3 Antigens;Child;Chimerism;Clinical Protocols;Clinical Trials;Cross-Sectional Studies;Cyclosporine;Data Analyses;Disease;Disease-Free Survival;Disseminated Malignant Neoplasm;Dose;Engraftment;Frequencies;Gene Transfer;Genes;Genotype;Globin;Goals;Hematological Disease;Hematopoiesis;Hematopoietic;Hematopoietic Stem Cell Mobilization;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobinopathies;Heterozygote;Human;Immune response;Immunosuppression;Individual;Institutional Review Boards;Investigation;Life Expectancy;Lung diseases;Marrow;Mathematics;Measures;Mendelian disorder;Modeling;Mus;Neurocognitive;Neuropsychological Tests;Non-Malignant;Organ;Organ failure;Outcome Measure;Pain;Patients;Peripheral Blood Stem Cell;Phenotype;Production;Prospective Studies;Proto-Oncogene Protein c-kit;Protocols documentation;Publishing;Quality of life;Regimen;Renal function;Reporting;Risk;Second Primary Cancers;Severities;Siblings;Sickle Cell Anemia;Sickle Cell Trait;Signal Transduction;Sirolimus;Source;Stroke;Supportive care;T-Lymphocyte;Testing;Thalassemia;Time;Toxic effect;Transplant Recipients;Transplantation;allograft rejection;chronic graft versus host disease;clinical application;comorbidity;conditioning;curative treatments;design;follow-up;graft vs host disease;heart function;hematopoietic engraftment;hydroxyurea;improved;irradiation;mortality;mouse model;peripheral blood;programs;pulmonary function;safety and feasibility;secondary analysis;secondary endpoint;secondary outcome;synergism;vaso-occlusive crisis,Nonmyeloablative allogeneic PBSC in globin disorders,n/a,NHLBI,10929110, , ,1ZIAHL006007-16,1,ZIA,HL,6007,16,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2023,1792190, ,NHLBI, , , ,1792190
Biotechnology; Cancer; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Immunotherapy; Orphan Drug; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Address;Affect;Allogenic;Amino Acids;Antigens;Autologous;Autologous Transplantation;Biological Assay;Bone Marrow;Bone Marrow Purging;Bypass;Cell Transplantation;Cells;Clinic;Clinical;Clinical Trials;Clustered Regularly Interspaced Short Palindromic Repeats;Coupling;Cytokine Receptors;DNA Damage;Data;Defect;Development;Disease;Drug Kinetics;Endowment;Engineering;Engraftment;Epitopes;Erythroid Cells;Extracellular Domain;FLT3 gene;Face;Fetal Hemoglobin;Future;Gene Modified;Gene Transfer;Genetic;Genetic Engineering;Globin;Goals;Guide RNA;Hair;Hematological Disease;Hematology;Hematopoiesis;Hematopoietic;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobin;Hemoglobinopathies;Homologous Transplantation;Human;IL3RA gene;Immune;Immunotherapy;Immunotoxins;Infection;Infertility;Infusion procedures;Intervention;Life;Ligands;Malignant Neoplasms;Measurable;Medical;Modeling;Modification;Monoclonal Antibodies;Mucositis;Nature;Nausea;Parameter Estimation;Pathologic;Patients;Pharmaceutical Preparations;Physiological;Pre-Clinical Model;Production;Radiation therapy;Regimen;Regulation;Resistance;Risk;Sickle Cell Anemia;Specificity;System;Testing;Therapeutic;Therapeutic antibodies;Time;Toxic effect;Transfusion;Translations;Transplantation;Treatment Efficacy;Validation;base editing;beta Thalassemia;cellular engineering;chemotherapy;chimeric antigen receptor T cells;clinical efficacy;conditioning;curative treatments;derepression;efficacy validation;gene therapy;genome-wide;genotoxicity;hemoglobin B;innovation;manufacturing process;new technology;novel strategies;nuclease;preservation;protein function;receptor;research clinical testing;response;scale up;sickling;stem cell engraftment;tool,Chemotherapy-free cure of hemoglobin disorders through base editing,PROJECT NARRATIVESickle cell disease (SCD) and transfusion-dependent b-thalassemia (TDT) are severe blood disorders for whichthe only currently available curative therapies require chemotherapy which comes with substantial short-termand long-term drawbacks. We have developed a novel approach where we produce base edits in blood stemcells to both re-activate therapeutic fetal hemoglobin and create cells resistant to immune-based therapies. Ourpremise to be tested is that this approach could allow the development of curative therapies for SCD and TDTthat do not require chemotherapy (or radiation therapy) and thus sidestep inherent risks such as nausea hairloss mucositis life-threatening infections infertility DNA damage and cancer.,NHLBI,10754114,8/16/2023,PA-20-185,1R01HL170629-01,1,R01,HL,170629,1,,"QASBA, PANKAJ ",9/1/2023,5/31/2027,Therapeutic Approaches to Genetic Diseases Study Section[TAG], ,10124304,"BAUER, DANIEL EVAN","GENOVESE, PIETRO ",7,Unavailable,76593722,Z1L9F1MM1RY3,76593722,Z1L9F1MM1RY3,US,42.337481,-71.104964,1504801,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Independent Hospitals,21155724,UNITED STATES,N,9/1/2023,5/31/2024, ,839,Non-SBIR/STTR,2023,807747, ,NHLBI,494664,313083, ,807747
Biotechnology; Cooley's Anemia; Genetics; Hematology; Human Genome; Rare Diseases; Sickle Cell Disease,3-Dimensional;Adult;Binding;Binding Sites;CRISPR/Cas technology;Categories;Cell Line;Cells;Chromatin;Classification;Code;Data;Development;Dimerization;Disease;Dissection;EEF1A2 gene;EP300 gene;Enhancers;Environment;Erythrocytes;Erythroid;Erythroid Cells;Erythropoiesis;Fetal Hemoglobin;GATA1 gene;Gene Cluster;Gene Expression;Gene Expression Regulation;Generations;Genes;Genetic;Genetic Diseases;Genome;Genomic Segment;Genomics;Globin;Hemoglobin;Hemoglobin F Disease;Hemoglobinopathies;Histones;Human;Human Genome;Locus Control Region;Mediating;Molecular Target;Pathogenicity;Play;Point Mutation;Population;Proteins;Publishing;Regulation;Regulatory Element;Research;Role;Sickle Cell Anemia;Site;Structure;System;Technology;Thalassemia;Transcriptional Regulation;Twin Multiple Birth;Untranslated RNA;Up-Regulation;Update;Work;beta Globin;beta Thalassemia;epigenome editing;epigenomic profiling;experimental study;fetal;gamma Globin;gene therapy;genome editing;genomic locus;mutant;novel;novel strategies;precise genome editing;prime editing;progenitor;promoter;reduce symptoms;targeted treatment;therapy development;tool;transcription factor,The dissection of non-canonical cis-regulatory elements downstream of beta-globin locus in the fetal hemoglobin gene regulation,Project NarrativeCis-regulatory elements (CREs) play an important role in the regulation of -like globin expression. We haveidentified novel CRE hubs downstream of  globin gene cluster could regulate the  globin expression. Wepropose to use comprehensive genome and epigenome editing strategy to dissect the function of these CREsin -like globin gene expression under various scenarios.,NHLBI,10718028,8/24/2023,PA-20-185,1R01HL170115-01,1,R01,HL,170115,1,,"GOLDBERG, ILANA GRACE",9/1/2023,7/31/2028,"Basic Biology of Blood, Heart and Vasculature Study Section [BBHV]", ,14601411,"ZHANG, XIAOTIAN ",Not Applicable,18,BIOCHEMISTRY,800771594,ZUFBNVZ587D4,800771594,ZUFBNVZ587D4,US,29.703025,-95.403303,578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,SCHOOLS OF MEDICINE,770305400,UNITED STATES,N,9/1/2023,7/31/2024, ,839,Non-SBIR/STTR,2023,469845, ,NHLBI,327211,142634, ,469845
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,Adult;Alleles;Area;Blood;Blood Cells;Blood specimen;Bone Marrow;CD34 gene;Cell Differentiation process;Cells;Chemicals;Clinical;Clustered Regularly Interspaced Short Palindromic Repeats;Collection;Computer software;DNA;DNA Repair;DNA Sequence;Development;Embryo;Erythroblasts;Erythroid Cells;Fetal Hemoglobin;Freezing;Frequencies;GYPA gene;Gene Silencing;Genes;Genomics;Globin;Guide RNA;HLA Antigens;Hematopoietic stem cells;Hemoglobin;High Pressure Liquid Chromatography;In Vitro;Incidence;Investigation;Modeling;Molecular;Mutation;Nonhomologous DNA End Joining;Oligonucleotides;Patients;Phenotype;Point Mutation;Preparation;Proteins;Reagent;Reporting;Ribonucleoproteins;Sickle Cell Anemia;Sickle Cell Trait;Sickle Hemoglobin;Site;Source;System;Technology;Thalassemia;Umbilical Cord Blood;Up-Regulation;base;beta Globin;deep sequencing;endonuclease;erythroid differentiation;fetal;gene correction;gene therapy;genome editing;graft vs host disease;innovation;insertion/deletion mutation;off-target site;peripheral blood;repaired;sickling;targeted treatment,The Mechanism Of Beta-globin Gene Silencing In Embryonic-fetal Erythroid Cells: Application to Gene Therapy,n/a,NHLBI,10712578, , ,1ZIAHL006281-01,1,ZIA,HL,6281,1,,, , , , ,9694372,"RODGERS, GRIFFIN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2022,613279, ,NIDDK, , , ,613278
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,Adult;Alleles;Area;Blood;Blood Cells;Blood specimen;Bone Marrow;CD34 gene;Cell Differentiation process;Cells;Chemicals;Clinical;Clustered Regularly Interspaced Short Palindromic Repeats;Collection;Computer software;DNA;DNA Repair;DNA Sequence;Development;Embryo;Erythroblasts;Erythroid Cells;Fetal Hemoglobin;Freezing;Frequencies;GYPA gene;Gene Silencing;Genes;Genomics;Globin;Guide RNA;HLA Antigens;Hematopoietic stem cells;Hemoglobin;High Pressure Liquid Chromatography;In Vitro;Incidence;Investigation;Modeling;Molecular;Mutation;Nonhomologous DNA End Joining;Oligonucleotides;Patients;Phenotype;Point Mutation;Preparation;Proteins;Reagent;Reporting;Ribonucleoproteins;Sickle Cell Anemia;Sickle Cell Trait;Sickle Hemoglobin;Site;Source;System;Technology;Thalassemia;Umbilical Cord Blood;Up-Regulation;base;beta Globin;deep sequencing;endonuclease;erythroid differentiation;fetal;gene correction;gene therapy;genome editing;graft vs host disease;innovation;insertion/deletion mutation;off-target site;peripheral blood;repaired;sickling;targeted treatment,The Mechanism Of Beta-globin Gene Silencing In Embryonic-fetal Erythroid Cells: Application to Gene Therapy,n/a,NHLBI,10712578, , ,1ZIAHL006281-01,1,ZIA,HL,6281,1,,, , , , ,9694372,"RODGERS, GRIFFIN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2022,613279, ,NHLBI, , , ,1
Clinical Research; Cooley's Anemia; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease,Binding;CD34 gene;CDK4 gene;CHD4 gene;CRISPR screen;CRISPR-mediated transcriptional activation;Candidate Disease Gene;Cell Cycle;Cell Cycle Proteins;Cell Cycle Regulation;Cell Cycle Stage;Cell Differentiation process;Cell Line;Cell Nucleus;Cells;Clinical;Compensation;Defect;Development;Disease;Erythrocytes;Erythroid;Erythroid Cells;Erythropoiesis;Fetal Hemoglobin;Fluorescence;Foundations;Genes;Genetic;Hematopoietic stem cells;Hemoglobin;Hemoglobinopathies;Human;In Vitro;Knock-out;Knowledge;Mendelian disorder;Messenger RNA;Methods;Mitosis;Organ;Oxygen;Pathogenicity;Patients;Phosphorylation;Polymers;Population;Process;Production;Proteins;Publishing;Regulation;Research;Role;Screening Result;Sickle Cell Anemia;Speed;System;Testing;Therapeutic;Tissues;Transcription Initiation Site;Ubiquitination;Validation;Work;beta Globin;beta Thalassemia;candidate validation;career;deep sequencing;erythroid differentiation;experience;experimental study;gamma Globin;genome-wide;hemoglobin polymer;inhibitor;novel;novel therapeutic intervention;novel therapeutics;pharmacologic;polymerization;promoter;skills,Reactivation of Gamma Globin Expression in -Hemoglobinopathies,PROJECT NARRATIVE-hemoglobinopathies are diseases of quantitative (-thalassemia) or qualitative (Sickle Cell Disease(SCD)) defects in -globin synthesis. -globin an alternative -like subunit has the ability to inhibitpathogenic -globin polymerization in SCD and can functionally replace -globin in -thalassemia.Determining novel regulators that increase -globin expression may lead to the development of noveltherapeutic strategies for -hemoglobinopathies.,NHLBI,10707024,8/22/2023,PA-21-052,5F31HL162544-02,5,F31,HL,162544,2,,"HILL-PRYOR, CRYSTAL DARLEANE-ROBIN",9/1/2022,8/31/2024,Special Emphasis Panel[ZRG1-F10C-C(20)L], ,14653885,"BALBIN-CUESTA, GINETTE THERESA",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,73133571,GNJ7BBP73WE9,73133571,GNJ7BBP73WE9,US,42.275494,-83.743038,1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,SCHOOLS OF MEDICINE,481091276,UNITED STATES,N,9/1/2023,8/31/2024, ,839,"Training, Individual",2023,40054, ,NHLBI,40054,0, ,40054
Biotechnology; Clinical Research; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Address;Anemia;Animal Experimentation;Animal Model;Animals;Autologous;B-Lymphocytes;Biological Models;Bone Marrow Transplantation;Busulfan;Capsid;Cells;Clinical;Clinical Trials;Communication;Disease;Disease model;Dose;Drug Kinetics;Engraftment;Enhancers;Erythroid;Fetal Hemoglobin;Formulation;Gene Expression;Gene Transfer;Gene Transfer Techniques;Genes;Globin;HIV;Hematopoiesis;Hematopoietic stem cells;Hemoglobinopathies;Human;Infusion procedures;Insertional Mutagenesis;Intravenous;Journals;Lentivirus Vector;Macaca mulatta;Manuscripts;Marrow;Measures;Methods;Modeling;Monitor;Myelogenous;Myelosuppression;Nature;Oral;Peripheral Blood Stem Cell;Phenotype;Phylogenetic Analysis;Plasmids;Population;Pre-Clinical Model;Preclinical Testing;Production;Publishing;Reagent;Regulatory Element;Reporter;Reporting;Retroviral Vector;Rhesus;Risk;Rodent Model;SIV;Series;Sickle Cell;Sickle Cell Anemia;Single-Gene Defect;Source;T-Lymphocyte;Technology Transfer;Testing;Thalassemia;Transplantation;Viral Vector;Whole-Body Irradiation;Work;absorption;base;beta Globin;beta Thalassemia;cellular transduction;chemotherapeutic agent;clinical application;clinical development;clinical investigation;clinically relevant;conditioning;cross reactivity;dosage;endonuclease;gene transfer vector;genetic manipulation;genetically modified cells;human model;in vivo;in vivo Model;individual patient;integration site;irradiation;lentiviral-mediated;mouse model;neutrophil;nonhuman primate;peripheral blood;pre-clinical;preclinical development;promoter;stem cell genes;stem cells;success;technique development;transgene expression;vector,A preclinical large animal model for globin gene transfer,n/a,NHLBI,10694666, , ,1ZIAHL006008-15,1,ZIA,HL,6008,15,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2022,1143047, ,NHLBI, , , ,1143047
Behavioral and Social Science; Biotechnology; Cancer; Clinical Research; Cooley's Anemia; Genetics; Hematology; Immunotherapy; Lung; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Ablation;Acute;Adult;Age;Allogeneic Bone Marrow Transplantation;Allogenic;Allografting;Animal Model;Antibodies;Blood;CD3 Antigens;Child;Chimerism;Clinical Protocols;Clinical Trials;Cross-Sectional Studies;Cyclosporine;Data Analyses;Disease;Disease-Free Survival;Disseminated Malignant Neoplasm;Dose;Engraftment;Frequencies;Gene Transfer;Genes;Genotype;Globin;Goals;Hematological Disease;Hematopoiesis;Hematopoietic;Hematopoietic Stem Cell Mobilization;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobinopathies;Heterozygote;Human;Immune response;Immunosuppression;Individual;Institutional Review Boards;Investigation;Life Expectancy;Lung diseases;Marrow;Mathematics;Measures;Mendelian disorder;Modeling;Mus;Neurocognitive;Neuropsychological Tests;Non-Malignant;Organ;Organ failure;Outcome Measure;Pain;Patients;Peripheral Blood Stem Cell;Phenotype;Production;Prospective Studies;Proto-Oncogene Protein c-kit;Protocols documentation;Publishing;Quality of life;Regimen;Renal function;Reporting;Risk;Second Primary Cancers;Severities;Siblings;Sickle Cell Anemia;Sickle Cell Trait;Signal Transduction;Sirolimus;Source;Stroke;Supportive care;T-Lymphocyte;Testing;Thalassemia;Time;Toxic effect;Transplant Recipients;Transplantation;allograft rejection;base;chronic graft versus host disease;clinical application;comorbidity;conditioning;curative treatments;design;follow-up;graft vs host disease;heart function;hematopoietic engraftment;hydroxyurea;improved;irradiation;mortality;mouse model;peripheral blood;programs;pulmonary function;safety and feasibility;secondary analysis;secondary endpoint;secondary outcome;synergism;vaso-occlusive crisis,Nonmyeloablative allogeneic PBSC in globin disorders,n/a,NHLBI,10694665, , ,1ZIAHL006007-15,1,ZIA,HL,6007,15,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2022,1541591, ,NHLBI, , , ,1541591
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation,Adenoviruses;Aftercare;Ambulatory Care;Blood Cells;Bone Marrow;Bone Marrow Aspiration;Bone Marrow Purging;CD46 Antigen;CRISPR/Cas technology;Capsid;Carmustine;Cell Transplantation;Cells;Clinical;Communicable Diseases;Data;Defect;Developing Countries;Disease model;Dose;Engineering;Erythrocytes;Erythroid Cells;Erythropoietin;Erythropoietin Receptor;Evaluation;Fetal Hemoglobin;Gene Transfer;Genes;Genetic;Globin;Goals;Harvest;Hematological Disease;Hematopoietic Stem Cell Mobilization;Hematopoietic stem cells;Hemoglobinopathies;Hemophilia A;High Dose Chemotherapy;Human;IL1R1 gene;Immunity;Immunologic Deficiency Syndromes;Immunotherapy;In Vitro;Injections;Intravenous;Knock-out;Leukapheresis;Macaca mulatta;Mediating;Methods;Modification;Mus;Mutation;Outcome;Patients;Peripheral;Phenotype;Price;Primates;Procedures;Process;Proliferating;Prophylactic treatment;Protocols documentation;Regimen;Risk;Safety;Series;Sickle Cell Anemia;Sleeping Beauty;Stem cell pluripotency;Steroids;System;Technology;Testing;Thalassemia;Toxic effect;Toxicology;Transgenes;Transgenic Mice;Transposase;Viral Vector;Virus;antagonist;beta Thalassemia;cellular transduction;cesium chloride;chemotherapy;clinical application;cost;cost effectiveness;curative treatments;cytokine;design;driving force;efficacy study;fetal reactivity;gene therapy;gene transfer vector;genome editing;gutless adenoviral vector;humanized mouse;improved;in vivo;intravenous injection;mouse model;nonhuman primate;patient population;pharmacologic;portability;pre-clinical;preclinical study;preference;prevent;repaired;response;side effect;stem cell gene therapy;stem cell genes;thalassemia intermedia;therapeutic transgene;trait;transgene expression;vector,In Vivo Hematopoietic Stem Cell Gene Therapy of Beta-Thalassemia and Sickle Cell Disease,We have previously shown in mice and non-human primates that it possible to transducehematopoietic stem cells in vivo and achieve therapeutic transgene expression levels that wouldbe curative in patients with thalassemia or Sickle Cell Anemia. Here we propose to further de-risk and simplify our in vivo approach. Our ultimate goal is to deliver an off-the-shelf HSC genetherapy product to patients around the globe.,NHLBI,10685978,8/22/2023,PA-20-185,5R01HL130040-07,5,R01,HL,130040,7,,"QASBA, PANKAJ ",6/1/2016,7/31/2025,Gene and Drug Delivery Systems Study Section[GDD], ,2288872,"LIEBER, ANDRE MICHAEL",Not Applicable,7,INTERNAL MEDICINE/MEDICINE,605799469,HD1WMN6945W6,605799469,HD1WMN6945W6,US,47.660307,-122.315168,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,SCHOOLS OF MEDICINE,981959472,UNITED STATES,N,8/1/2023,7/31/2024, ,839,Non-SBIR/STTR,2023,657943, ,NHLBI,409924,248019, ,657943
